Voltage,Current
19.0,2.22305e-07
19.0,2.23597e-07
19.0,2.24853e-07
19.0,2.26096e-07
19.0,2.27285e-07
19.0,2.28471e-07
19.0,2.29592e-07
19.0,2.30683e-07
19.0,2.3178e-07
19.0,2.32829e-07
19.0,2.33845e-07
19.0,2.34848e-07
19.0,2.35811e-07
19.0,2.36724e-07
19.0,2.37655e-07
19.0,2.38524e-07
19.0,2.3939e-07
19.0,2.40201e-07
19.0,2.40998e-07
19.0,2.41776e-07
19.0,2.42534e-07
19.0,2.4328e-07
19.0,2.43961e-07
19.0,2.44681e-07
19.0,2.45339e-07
19.0,2.4598e-07
19.0,2.46562e-07
19.0,2.47162e-07
19.0,2.47731e-07
19.0,2.48262e-07
19.0,2.48807e-07
19.0,2.49304e-07
19.0,2.49757e-07
19.0,2.5024e-07
19.0,2.50683e-07
19.0,2.51122e-07
19.0,2.51529e-07
19.0,2.5192e-07
19.0,2.5231e-07
19.0,2.52663e-07
19.0,2.53015e-07
19.0,2.53361e-07
19.0,2.53661e-07
19.0,2.53982e-07
19.0,2.54281e-07
19.0,2.5456e-07
19.0,2.54857e-07
19.0,2.55139e-07
19.0,2.55413e-07
19.0,2.5566e-07
19.0,2.55909e-07
19.0,2.56169e-07
19.0,2.56399e-07
19.0,2.56645e-07
19.0,2.56863e-07
19.0,2.57122e-07
19.0,2.57349e-07
19.0,2.57574e-07
19.0,2.57813e-07
19.0,2.58036e-07
19.0,2.58241e-07
19.0,2.58464e-07
19.0,2.5869e-07
19.0,2.58901e-07
19.0,2.59105e-07
19.0,2.59303e-07
19.0,2.59465e-07
19.0,2.59673e-07
19.0,2.59898e-07
19.0,2.60042e-07
19.0,2.60257e-07
19.0,2.60442e-07
19.0,2.60637e-07
19.0,2.60823e-07
19.0,2.6099e-07
19.0,2.61166e-07
19.0,2.61338e-07
19.0,2.61493e-07
19.0,2.61655e-07
19.0,2.6183e-07
19.0,2.62017e-07
19.0,2.62176e-07
19.0,2.62351e-07
19.0,2.62523e-07
19.0,2.62684e-07
19.0,2.62863e-07
19.0,2.63004e-07
19.0,2.63169e-07
19.0,2.63338e-07
19.0,2.63514e-07
19.0,2.63693e-07
19.0,2.63846e-07
19.0,2.64022e-07
19.0,2.64177e-07
19.0,2.64333e-07
19.0,2.64481e-07
19.0,2.64632e-07
19.0,2.64821e-07
19.0,2.64987e-07
19.0,2.65122e-07
19.0,2.6526e-07
19.0,2.65423e-07
19.0,2.6558e-07
19.0,2.65744e-07
19.0,2.65896e-07
19.0,2.66071e-07
19.0,2.66229e-07
19.0,2.66358e-07
19.0,2.66508e-07
19.0,2.66665e-07
19.0,2.66796e-07
19.0,2.66962e-07
19.0,2.67092e-07
19.0,2.67249e-07
19.0,2.67341e-07
19.0,2.67491e-07
19.0,2.67659e-07
19.0,2.67807e-07
19.0,2.67938e-07
19.0,2.68053e-07
19.0,2.68205e-07
19.0,2.68344e-07
19.0,2.68469e-07
19.0,2.68602e-07
19.0,2.68712e-07
19.0,2.68859e-07
19.0,2.68978e-07
19.0,2.69112e-07
19.0,2.6925e-07
19.0,2.69371e-07
19.0,2.69503e-07
19.0,2.69608e-07
19.0,2.69756e-07
19.0,2.69878e-07
19.0,2.70013e-07
19.0,2.70154e-07
19.0,2.70277e-07
19.0,2.70392e-07
19.0,2.70518e-07
19.0,2.70647e-07
19.0,2.70753e-07
19.0,2.70876e-07
19.0,2.7097e-07
19.0,2.71074e-07
19.0,2.71192e-07
19.0,2.71244e-07
19.0,2.71374e-07
19.0,2.71453e-07
19.0,2.71534e-07
19.0,2.71603e-07
19.0,2.71709e-07
19.0,2.71792e-07
19.0,2.71875e-07
19.0,2.71964e-07
19.0,2.72083e-07
19.0,2.72175e-07
19.0,2.72289e-07
19.0,2.72423e-07
19.0,2.72539e-07
19.0,2.72628e-07
19.0,2.72729e-07
19.0,2.7285e-07
19.0,2.72967e-07
19.0,2.7307e-07
19.0,2.73187e-07
19.0,2.73322e-07
19.0,2.73434e-07
19.0,2.73547e-07
19.0,2.73654e-07
19.0,2.7374e-07
19.0,2.73859e-07
23.0,-1.01165e-08
23.0,1.4087e-10
23.0,8.5073e-09
23.0,1.5737e-08
23.0,2.27588e-08
23.0,2.9639e-08
23.0,3.63106e-08
23.0,4.30177e-08
23.0,4.9651e-08
23.0,5.61289e-08
23.0,6.26961e-08
23.0,6.91957e-08
23.0,7.56053e-08
23.0,8.20261e-08
23.0,8.84184e-08
